name,party,Constituency & State,gender,is_nominated,nth loksabha
"Abdullabhai,Mulla Taherali Mulla",Congress,Chanda (Madhya Pradesh ),male,0,1
"Abdus Sattar,Shri",Congress,Kalna-Katwa (West Bengal ),male,0,1
"Achal Singh,Seth",Congress,Agra (Uttar Pradesh ),male,0,1
"Achalu,Shri Sunkam",PDF,Nalgonda-SC (Hyderabad ),male,0,1
"Achint Ram,Lala",Congress,Hissar (Punjab ),male,0,1
"Achuthan,Shri K.T.",Congress,Cangannur (Travancore-Cochin ),male,0,1
"Agarwal,Shri Hoti Lal",Congress,Jalaun Distt. cum Etawah Distt.(West) cum Jhansi Distt .(North) (Uttar Pradesh ),male,0,1
"Agarwal,Shri Shriman Narayan Dharam Narayan",Congress,Wardha (Madhya Pradesh ),male,0,1
"Agrawal,Shri Mukund Lal",Congress,Pilibhit Distt. cum Bareilly Distt. (East) (Uttar Pradesh ),male,0,1
"Ahmed Mohiuddin,Shri",Congress,Hyderabad City (Hyderabad ),male,0,1
"Ajit Singh,Shri",Akali,Kapurthala-Bhatinda-SC (Patiala and East Punjab States ),male,0,1
"Akarpuri,Sardar Teja Singh",Congress,Gurdaspur (Punjab ),male,0,1
"Alagesan Mudaliar,Shri O.V.",Congress,Chengleput (Madras ),male,0,1
"Altekar,Shri Ganesh Sadashiv",Congress,North Satara (Bombay ),male,0,1
"Alva,Shri Joachim",Congress,Kanara (Bombay ),male,0,1
"Amin,Dr. Indubhai Bhailal Bhai",Ind.,Baroda West (Bombay ),male,0,1
"Amjad Ali,Shri",Socialist,Goalpara-Garo Hills-ST (Assam ),male,0,1
"Amrit Kaur,Rajkumari",Congress,Mandi - Mahasu-SC (Himachal Pradesh ),female,0,1
"Anand Chand,Shri",Ind.,Bilaspur (Bilaspur ),male,0,1
"Ansari,Dr. Shaukatullah Shah",Congress,Bidar (Hyderabad ),male,0,1
"Anthony,Shri Frank",NM,,male,1,1
"Arya,Dr. Suresh Chandra Shiv Prasad",Congress,Aurangabad (Hyderabad ),male,0,1
"Asthana,Shri Sita Ram",Congress,Azamgarh Distt West-SC (Uttar Pradesh ),male,0,1
"Ayyangar,Shri Madabhusi Ananthasayanam",Congress,Tirupati (Madras ),male,0,1
"Azad,Maulana Abul Kalam",Congress,Rampur Dist cum Bareilly dist(west) (Uttar Pradesh ),male,0,1
"Bagdi,Shri Maganlal Radhakrishnan",Congress,Mahasamund (Madhya Pradesh ),male,0,1
"Bahadur Singh,Shri",Akali,Ferozepur- Ludhiana-SC (Punjab ),male,0,1
"Balasubramaniam,Shri S.",Congress,Madurai (Madras ),male,0,1
"Baldev Singh,Sardar",Congress,Nawan Shahr (Punjab ),male,0,1
"Balkrishnan,Shri S.C.",Congress,Erode (Madras ),male,0,1
"Balmiki,Shri Kanhaiya Lal",Congress,Bulandshahar Distt.-SC (Uttar Pradesh ),male,0,1
"Banerjee,Shri Durga Charan",Jan Sangh,Midnapore Jhargram-ST (West Bengal ),male,0,1
"Bansal,Shri Ghamandi Lal",Congress,Jhajjar (Punjab ),male,0,1
"Bansilal,Shri",Congress,Jaipur (Rajasthan ),male,0,1
"Barman,Shri Upendranath",Congress,North Bengal (West Bengal ),male,0,1
"Barrow,Shri A.E.T.",NM,,male,1,1
"Barupal,Shri Pannalal",Congress,Ganganagar-SC (Rajasthan ),male,0,1
"Basappa,Shri C.R.",Congress,Tumkur (Mysore ),male,0,1
"Basu,Shri Amiya Kanta",Congress,North Bengal (West Bengal ),male,0,1
"Basu,Shri Kamal Kumar",CP,Diamond Harbour (West Bengal ),male,0,1
"Bhagat,Shri Bali Ram",Congress,Patna cum Shahabad (Bihar ),male,0,1
"Bhakt Darshan,Shri",Congress,Garhwal Distt. (East) cum Moradabad Distt. (North-East) (Uttar Pradesh ),male,0,1
"Bhandari,Shri Daulat Mall",Congress,Jaipur (Rajasthan ),male,0,1
"Bharati,Shri Goswamiraja Sahdeo",Congress,Yeotmal (Madhya Pradesh ),male,0,1
"Bhargava,Pandit Mukut Bihari Lal",Congress,Ajmer South (Ajmer ),male,0,1
"Bhargava,Pandit Thakur Das",Congress,Gurgaon (Punjab ),male,0,1
"Bhartiya,Shri Shaligram Ramchandra",Congress,West Khandesh-ST (Bombay ),male,0,1
"Bhatkar,Shri Laxmanrao Shrawanji",Congress,Buldana-Akola (Madhya Pradesh ),male,0,1
"Bhatt,Shri Chandrashanker Manishanker",Congress,Broach (Bombay ),male,0,1
"Bheekhabhai,Shri",Congress,Banswara-Dungarpur-ST (Rajasthan ),male,0,1
"Bhoi,Shri Girdhari",GP,Kalahandi Bolangir-ST (Odisha ),male,0,1
"Bhonsle,Shri Jagannathrao Krishnarao",Congress,Ratnagiri North (Bombay ),male,0,1
"Bibhuti Mishra,Shri",Congress,Saran cum Champaran-SC (Bihar ),male,0,1
"Bidari,Shri Ramappa Balappa",Congress,Bijapur South (Bombay ),male,0,1
"Birbal Singh,Shri",Congress,Jaunpur Dist (East) (Uttar Pradesh ),male,0,1
"Boddiapalli,Shri Rajagopala Rao",Congress,Srikakulam (Madras ),male,0,1
"Bogawat,Shri Uttamchand Ramchand, H.P.",Congress,Ahmednagar South (Bombay ),male,0,1
"Boovaraghasamy,Shri V.",TNTP,Perambalur-SC (Madras ),male,0,1
"Borkar,Shri Nama Arjun",Congress,Bhandara (Madhya Pradesh ),male,0,1
"Borkar,Smt. Ansuyabai Bhaorao",Congress,Bhandara (Madhya Pradesh ),female,0,1
"Borooah,Shri Dev Kanta",Congress,Nowgong (Assam ),male,0,1
"Bose,Shri Prabhat Chandra",Congress,Manbhum North (Bihar ),male,0,1
